SKU,Brand,Raw_Material,Quantity_Used
1,Creamy Bliss,Chocolate,8.71
1,Creamy Bliss,Stabilizers,9.38
1,Creamy Bliss,Emulsifiers,4.87
2,Sunny Scoops,Packaging,5.6
2,Sunny Scoops,Fruit,6.08
2,Sunny Scoops,Vanilla Extract,5.78
3,Creamy Bliss,Flavoring,8.53
3,Creamy Bliss,Milk,5.43
3,Creamy Bliss,Fruit,6.05
4,Sunny Scoops,Vanilla Extract,4.2
4,Sunny Scoops,Emulsifiers,5.89
4,Sunny Scoops,Chocolate,3.08
4,Sunny Scoops,Milk,9.47
5,Sunny Scoops,Packaging,1.63
5,Sunny Scoops,Vanilla Extract,9.7
5,Sunny Scoops,Stabilizers,9.49
5,Sunny Scoops,Cream,7.66
6,Velvet Freeze,Vanilla Extract,5.83
6,Velvet Freeze,Emulsifiers,3.58
6,Velvet Freeze,Chocolate,6.05
6,Velvet Freeze,Stabilizers,3.61
7,Arctic Treats,Flavoring,3.42
7,Arctic Treats,Fruit,4.83
7,Arctic Treats,Sugar,1.88
7,Arctic Treats,Packaging,9.55
7,Arctic Treats,Chocolate,2.18
8,Creamy Bliss,Emulsifiers,3.5
8,Creamy Bliss,Milk,1.68
8,Creamy Bliss,Cream,9.57
8,Creamy Bliss,Sugar,7.43
9,Sunny Scoops,Chocolate,6.5
9,Sunny Scoops,Stabilizers,1.29
9,Sunny Scoops,Milk,1.21
10,Sunny Scoops,Emulsifiers,7.18
10,Sunny Scoops,Fruit,3.18
10,Sunny Scoops,Cream,3.65
10,Sunny Scoops,Vanilla Extract,7.9
11,Polar Joy,Sugar,8.72
11,Polar Joy,Flavoring,6.55
11,Polar Joy,Milk,8.01
12,Frosty Delights,Sugar,0.66
12,Frosty Delights,Packaging,9
12,Frosty Delights,Chocolate,4.71
12,Frosty Delights,Cream,5.85
13,Velvet Freeze,Emulsifiers,4.97
13,Velvet Freeze,Packaging,9.99
13,Velvet Freeze,Chocolate,4.64
13,Velvet Freeze,Stabilizers,9.79
14,Velvet Freeze,Emulsifiers,6.65
14,Velvet Freeze,Vanilla Extract,6.35
14,Velvet Freeze,Cream,3.96
14,Velvet Freeze,Flavoring,7.39
14,Velvet Freeze,Chocolate,9.72
15,Velvet Freeze,Packaging,6.33
15,Velvet Freeze,Stabilizers,2.41
15,Velvet Freeze,Fruit,3.37
15,Velvet Freeze,Sugar,7.29
15,Velvet Freeze,Vanilla Extract,8.09
16,Creamy Bliss,Sugar,1.16
16,Creamy Bliss,Flavoring,3.31
16,Creamy Bliss,Fruit,3
16,Creamy Bliss,Milk,1.15
17,Frosty Delights,Fruit,5.52
17,Frosty Delights,Vanilla Extract,3.99
17,Frosty Delights,Milk,4.02
17,Frosty Delights,Sugar,6.39
17,Frosty Delights,Flavoring,9.22
18,Sunny Scoops,Stabilizers,8.84
18,Sunny Scoops,Flavoring,2.11
18,Sunny Scoops,Sugar,2.15
18,Sunny Scoops,Emulsifiers,6.92
19,Arctic Treats,Fruit,0.81
19,Arctic Treats,Sugar,9.37
19,Arctic Treats,Chocolate,8.06
19,Arctic Treats,Vanilla Extract,9.44
19,Arctic Treats,Stabilizers,8.83
20,Creamy Bliss,Cream,4.41
20,Creamy Bliss,Chocolate,4.49
20,Creamy Bliss,Sugar,2.72
21,Velvet Freeze,Emulsifiers,4.13
21,Velvet Freeze,Packaging,8.55
21,Velvet Freeze,Fruit,9.78
21,Velvet Freeze,Milk,1.5
21,Velvet Freeze,Flavoring,9.73
22,Polar Joy,Vanilla Extract,6.36
22,Polar Joy,Emulsifiers,0.78
22,Polar Joy,Flavoring,9.26
23,Polar Joy,Stabilizers,9.25
23,Polar Joy,Emulsifiers,5.91
23,Polar Joy,Cream,6.14
23,Polar Joy,Vanilla Extract,5.55
23,Polar Joy,Milk,3.82
24,Velvet Freeze,Stabilizers,3.38
24,Velvet Freeze,Vanilla Extract,2.15
24,Velvet Freeze,Fruit,2.16
24,Velvet Freeze,Cream,9.93
25,Frosty Delights,Packaging,6.94
25,Frosty Delights,Sugar,6.47
25,Frosty Delights,Stabilizers,3.45
26,Creamy Bliss,Sugar,4.24
26,Creamy Bliss,Flavoring,1.25
26,Creamy Bliss,Packaging,3.36
26,Creamy Bliss,Stabilizers,0.55
26,Creamy Bliss,Cream,6.03
27,Velvet Freeze,Vanilla Extract,1.45
27,Velvet Freeze,Stabilizers,4.62
27,Velvet Freeze,Sugar,9.83
27,Velvet Freeze,Packaging,5.03
27,Velvet Freeze,Emulsifiers,5.25
28,Arctic Treats,Vanilla Extract,4.38
28,Arctic Treats,Cream,6.52
28,Arctic Treats,Chocolate,8.12
28,Arctic Treats,Milk,6.07
29,Creamy Bliss,Milk,1.09
29,Creamy Bliss,Emulsifiers,7.25
29,Creamy Bliss,Vanilla Extract,1.45
30,Polar Joy,Emulsifiers,4.73
30,Polar Joy,Vanilla Extract,5.46
30,Polar Joy,Flavoring,1.99
31,Sunny Scoops,Stabilizers,2.33
31,Sunny Scoops,Packaging,8.83
31,Sunny Scoops,Flavoring,1.06
31,Sunny Scoops,Vanilla Extract,4.63
32,Creamy Bliss,Flavoring,3.71
32,Creamy Bliss,Fruit,8.86
32,Creamy Bliss,Milk,5.14
33,Polar Joy,Flavoring,4.44
33,Polar Joy,Packaging,5.01
33,Polar Joy,Vanilla Extract,9.04
33,Polar Joy,Chocolate,9.04
33,Polar Joy,Sugar,0.72
34,Creamy Bliss,Flavoring,2.09
34,Creamy Bliss,Stabilizers,3.42
34,Creamy Bliss,Emulsifiers,5.01
35,Arctic Treats,Stabilizers,9.06
35,Arctic Treats,Fruit,5.13
35,Arctic Treats,Cream,2.2
35,Arctic Treats,Milk,4.19
35,Arctic Treats,Packaging,4.46
36,Creamy Bliss,Flavoring,8.01
36,Creamy Bliss,Milk,6.76
36,Creamy Bliss,Vanilla Extract,8.64
36,Creamy Bliss,Stabilizers,5.57
37,Arctic Treats,Flavoring,6.28
37,Arctic Treats,Sugar,5.01
37,Arctic Treats,Milk,6.51
37,Arctic Treats,Packaging,8.12
38,Creamy Bliss,Cream,8.27
38,Creamy Bliss,Milk,6.61
38,Creamy Bliss,Fruit,4.68
38,Creamy Bliss,Sugar,4.36
38,Creamy Bliss,Flavoring,7.78
39,Frosty Delights,Packaging,3.37
39,Frosty Delights,Sugar,3.86
39,Frosty Delights,Chocolate,5.79
40,Sunny Scoops,Cream,2
40,Sunny Scoops,Packaging,5.27
40,Sunny Scoops,Flavoring,6.2
40,Sunny Scoops,Chocolate,5.73
41,Arctic Treats,Packaging,1.03
41,Arctic Treats,Milk,1.12
41,Arctic Treats,Chocolate,1.53
41,Arctic Treats,Cream,0.52
41,Arctic Treats,Vanilla Extract,5.14
42,Velvet Freeze,Emulsifiers,1.16
42,Velvet Freeze,Milk,2.94
42,Velvet Freeze,Flavoring,1.26
43,Creamy Bliss,Sugar,6.24
43,Creamy Bliss,Stabilizers,7.55
43,Creamy Bliss,Fruit,2.91
44,Frosty Delights,Cream,5.73
44,Frosty Delights,Milk,5.55
44,Frosty Delights,Sugar,9.53
44,Frosty Delights,Chocolate,2.52
44,Frosty Delights,Packaging,1.06
45,Frosty Delights,Milk,4.48
45,Frosty Delights,Flavoring,8.19
45,Frosty Delights,Emulsifiers,5.32
45,Frosty Delights,Cream,2.08
46,Velvet Freeze,Emulsifiers,2.04
46,Velvet Freeze,Chocolate,4.76
46,Velvet Freeze,Vanilla Extract,2.89
46,Velvet Freeze,Cream,0.68
47,Polar Joy,Cream,2.5
47,Polar Joy,Packaging,5.91
47,Polar Joy,Vanilla Extract,9.58
48,Velvet Freeze,Cream,6.75
48,Velvet Freeze,Fruit,1.74
48,Velvet Freeze,Flavoring,8.84
49,Sunny Scoops,Milk,1.2
49,Sunny Scoops,Cream,5.04
49,Sunny Scoops,Flavoring,8.5
49,Sunny Scoops,Sugar,7.12
50,Creamy Bliss,Emulsifiers,6.37
50,Creamy Bliss,Sugar,3.53
50,Creamy Bliss,Fruit,0.51
51,Arctic Treats,Milk,7.13
51,Arctic Treats,Chocolate,6.46
51,Arctic Treats,Stabilizers,4.81
52,Creamy Bliss,Fruit,7.31
52,Creamy Bliss,Stabilizers,0.5
52,Creamy Bliss,Milk,3.88
52,Creamy Bliss,Cream,9.65
53,Frosty Delights,Stabilizers,9.52
53,Frosty Delights,Fruit,3.22
53,Frosty Delights,Chocolate,1.76
53,Frosty Delights,Cream,2.99
54,Frosty Delights,Cream,7.35
54,Frosty Delights,Emulsifiers,1.58
54,Frosty Delights,Milk,6.87
54,Frosty Delights,Packaging,3.43
54,Frosty Delights,Fruit,2.12
55,Sunny Scoops,Flavoring,5.56
55,Sunny Scoops,Packaging,9.92
55,Sunny Scoops,Milk,6.69
55,Sunny Scoops,Stabilizers,7.76
56,Polar Joy,Vanilla Extract,4.06
56,Polar Joy,Chocolate,9.03
56,Polar Joy,Milk,1.7
56,Polar Joy,Emulsifiers,8.93
57,Sunny Scoops,Chocolate,3.13
57,Sunny Scoops,Milk,2.24
57,Sunny Scoops,Cream,1.59
57,Sunny Scoops,Emulsifiers,5.6
57,Sunny Scoops,Sugar,2
58,Velvet Freeze,Vanilla Extract,6.43
58,Velvet Freeze,Cream,6.36
58,Velvet Freeze,Sugar,5.65
58,Velvet Freeze,Fruit,1.32
59,Frosty Delights,Stabilizers,2.44
59,Frosty Delights,Fruit,9.73
59,Frosty Delights,Flavoring,0.71
60,Velvet Freeze,Milk,4.8
60,Velvet Freeze,Sugar,8.63
60,Velvet Freeze,Packaging,7.24
61,Frosty Delights,Vanilla Extract,7.49
61,Frosty Delights,Fruit,8.65
61,Frosty Delights,Stabilizers,2.79
61,Frosty Delights,Milk,8.37
61,Frosty Delights,Flavoring,2.63
62,Arctic Treats,Flavoring,4.2
62,Arctic Treats,Chocolate,2.98
62,Arctic Treats,Packaging,6.81
62,Arctic Treats,Stabilizers,7.28
62,Arctic Treats,Vanilla Extract,9.18
63,Polar Joy,Cream,5.12
63,Polar Joy,Chocolate,8.69
63,Polar Joy,Milk,5.81
64,Sunny Scoops,Emulsifiers,1.46
64,Sunny Scoops,Vanilla Extract,9.69
64,Sunny Scoops,Cream,8.82
64,Sunny Scoops,Sugar,3.01
64,Sunny Scoops,Fruit,0.98
65,Frosty Delights,Emulsifiers,7.72
65,Frosty Delights,Flavoring,3.56
65,Frosty Delights,Packaging,8.05
65,Frosty Delights,Stabilizers,1.98
66,Sunny Scoops,Emulsifiers,5.62
66,Sunny Scoops,Packaging,4.17
66,Sunny Scoops,Fruit,8.35
66,Sunny Scoops,Sugar,2.03
66,Sunny Scoops,Chocolate,3.49
67,Sunny Scoops,Packaging,0.7
67,Sunny Scoops,Sugar,5.73
67,Sunny Scoops,Vanilla Extract,7.3
68,Creamy Bliss,Sugar,3.32
68,Creamy Bliss,Stabilizers,6.83
68,Creamy Bliss,Milk,6.41
68,Creamy Bliss,Vanilla Extract,6.12
69,Velvet Freeze,Sugar,9.28
